artist_country,country_emoji,emoji_lookup,row_number(),url,emoji_label
Hungary,:flag_hu:,flag-hungary,43,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-hungary_1f1ed-1f1fa.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-hungary_1f1ed-1f1fa.png' width='25'/>
Bosnia & Herzegovina,:flag_ba:,flag-bosnia & herzegovina,44,,<img src='NA' width='25'/>
Slovakia,:flag_sk:,flag-slovakia,45,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-slovakia_1f1f8-1f1f0.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-slovakia_1f1f8-1f1f0.png' width='25'/>
Turkey,:flag_tr:,flag-turkey,46,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-turkey_1f1f9-1f1f7.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-turkey_1f1f9-1f1f7.png' width='25'/>
Andorra,:flag_ad:,flag-andorra,47,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-andorra_1f1e6-1f1e9.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-andorra_1f1e6-1f1e9.png' width='25'/>
Serbia & Montenegro,:white_circle:,flag-serbia & montenegro,48,,<img src='NA' width='25'/>
Monaco,:flag_mc:,flag-monaco,49,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-monaco_1f1f2-1f1e8.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-monaco_1f1f2-1f1e8.png' width='25'/>
Luxembourg,:flag_lu:,flag-luxembourg,50,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-luxembourg_1f1f1-1f1fa.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-luxembourg_1f1f1-1f1fa.png' width='25'/>
Yugoslavia,:white_circle:,flag-yugoslavia,51,,<img src='NA' width='25'/>
Morocco,:flag_ma:,flag-morocco,52,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-morocco_1f1f2-1f1e6.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-morocco_1f1f2-1f1e6.png' width='25'/>
